===============================================================================
Id,snp_lr,len,datetime,open,high,low,close,volume,openinterest,lstm_prediction,LSTM_Ind,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,snp_lr,1,2017-12-21 23:59:59.999989,108.66000366210938,111.16000366210938,107.45999908447266,110.45999908447266,1131500.0,110.60404641897722,110.60404641897722,LSTM_Ind,1,736684.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,snp_lr,2,2017-12-22 23:59:59.999989,110.54000091552734,110.76000213623048,108.97000122070312,109.13999938964844,725000.0,109.6212576766379,109.6212576766379,LSTM_Ind,2,736685.9999999999,Broker,2,993.481654124027,9885.93143366519,BuySell,2,107.33545120239258,,Trades - Net Profit/Loss,2,,
3,snp_lr,3,2017-12-26 23:59:59.999989,108.87000274658205,109.0199966430664,107.68000030517578,108.25,612300.0,108.62517269819949,108.62517269819949,LSTM_Ind,3,736689.9999999999,Broker,3,993.481654124027,9813.416545260108,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,snp_lr,4,2017-12-27 23:59:59.999989,108.61000061035156,109.79000091552734,107.52999877929688,107.8000030517578,962800.0,108.33836813037196,108.33836813037196,LSTM_Ind,4,736690.9999999999,Broker,4,993.481654124027,9776.751937549197,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,snp_lr,5,2017-12-28 23:59:59.999989,108.3000030517578,109.80999755859376,107.12000274658205,109.58999633789062,785300.0,109.73888976741269,109.73888976741269,LSTM_Ind,5,736691.9999999999,Broker,5,993.481654124027,9922.5960413761,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,snp_lr,6,2017-12-29 23:59:59.999989,109.4000015258789,110.22000122070312,108.25,109.77999877929688,1196900.0,110.04168889734335,110.04168889734335,LSTM_Ind,6,736692.9999999999,Broker,6,993.481654124027,9938.076957425616,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,snp_lr,7,2018-01-02 23:59:59.999989,110.02999877929688,113.06999969482422,109.5500030517578,112.87999725341795,1569300.0,112.98104465295854,112.98104465295854,LSTM_Ind,7,736696.9999999999,Broker,7,993.481654124027,10190.656954694614,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,snp_lr,8,2018-01-03 23:59:59.999989,113.47000122070312,114.6999969482422,112.73999786376952,113.87999725341795,1451500.0,114.23261884848864,114.23261884848864,LSTM_Ind,8,736697.9999999999,Broker,8,993.481654124027,10272.13441327324,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,snp_lr,9,2018-01-04 23:59:59.999989,114.91999816894531,115.27999877929688,112.58999633789062,114.0199966430664,1319300.0,114.32161843928023,114.32161843928023,LSTM_Ind,9,736698.9999999999,Broker,9,993.481654124027,10283.541207744353,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,snp_lr,10,2018-01-05 23:59:59.999989,114.91000366210938,117.19000244140624,114.27999877929688,116.91000366210938,1513600.0,117.07354292188437,117.07354292188437,LSTM_Ind,10,736699.9999999999,Broker,10,993.481654124027,10519.011634930359,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,snp_lr,11,2018-01-08 23:59:59.999989,116.5,120.18000030517578,115.11000061035156,117.37000274658205,1591400.0,117.79611295584387,117.79611295584387,LSTM_Ind,11,736702.9999999999,Broker,11,993.481654124027,10556.491191281686,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,snp_lr,12,2018-01-09 23:59:59.999989,117.7699966430664,118.16999816894531,113.76000213623048,114.91000366210938,1704800.0,115.37490494704089,115.37490494704089,LSTM_Ind,12,736703.9999999999,Broker,12,993.481654124027,10356.056717773112,BuySell,12,,,Trades - Net Profit/Loss,12,,
